date,open,high,low,close,adj close,volume
2020-12-30,80.989998,84.489998,80.260002,82.529999,82.529999,602800
2020-12-31,82.190002,84.970001,80.120003,84.930000,84.930000,627800
2021-01-04,84.949997,86.529999,79.570000,83.839996,83.839996,898200
2021-01-05,84.099998,85.830002,80.510002,82.209999,82.209999,674700
2021-01-06,83.230003,85.370003,81.790001,83.260002,83.260002,557700
2021-01-07,83.339996,88.419998,80.800003,84.070000,84.070000,1041100
2021-01-08,83.910004,86.150002,77.709999,80.440002,80.440002,898100
2021-01-11,79.930000,82.680000,79.000000,80.879997,80.879997,524700
2021-01-12,80.870003,82.699997,79.860001,81.830002,81.830002,399300
2021-01-13,82.000000,84.480003,79.900002,82.410004,82.410004,595600
2021-01-14,82.419998,88.730003,81.290001,87.709999,87.709999,898800
2021-01-15,86.940002,92.459999,85.730003,90.599998,90.599998,649800
