date,open,high,low,close,adj close,volume
2020-12-30,48.110001,49.480000,47.480000,48.759998,48.759998,674800
2020-12-31,48.599998,49.110001,46.169998,46.400002,46.400002,722600
2021-01-04,46.750000,47.189999,45.020000,46.259998,46.259998,1164600
2021-01-05,46.150002,46.599998,44.220001,44.740002,44.740002,1046500
2021-01-06,44.270000,46.950001,43.529999,46.849998,46.849998,1755700
2021-01-07,47.189999,49.150002,46.970001,49.000000,49.000000,989500
2021-01-08,49.419998,51.730000,48.660000,50.520000,50.520000,1584700
2021-01-11,50.000000,53.000000,48.500000,51.090000,51.090000,1576400
2021-01-12,51.290001,52.049999,48.740002,49.700001,49.700001,1119200
2021-01-13,49.730000,51.650002,49.009998,50.630001,50.630001,882800
2021-01-14,51.000000,53.779999,50.389999,52.029999,52.029999,1230900
2021-01-15,52.049999,54.209999,50.459999,51.060001,51.060001,981700
