date,open,high,low,close,adj close,volume
2020-12-30,235.000000,237.009995,232.070007,232.679993,232.679993,819100
2020-12-31,232.350006,237.500000,230.330002,236.339996,236.339996,1161100
2021-01-04,237.910004,238.080002,226.270004,229.429993,229.429993,2117700
2021-01-05,228.839996,229.919998,225.089996,228.580002,228.580002,1730500
2021-01-06,225.100006,227.509995,222.309998,226.649994,226.649994,2306700
2021-01-07,227.899994,233.970001,227.199997,232.899994,232.899994,1503800
2021-01-08,233.860001,237.759995,233.009995,237.000000,237.000000,1231200
2021-01-11,235.580002,236.470001,227.380005,234.639999,234.639999,2263100
2021-01-12,234.800003,238.259995,228.740005,229.380005,229.380005,1816900
2021-01-13,230.199997,231.059998,226.940002,227.100006,227.100006,1809600
2021-01-14,228.220001,228.399994,224.699997,226.119995,226.119995,1727800
2021-01-15,226.589996,227.600006,224.389999,225.550003,225.550003,2241900
